Criminality,Area of Responsibility (AOR),Country of Citizenship,Fiscal Year,Fiscal Quarter,Fiscal Month,Month-Year,Administrative Arrests
Criminal Conviction,Atlanta,COLOMBIA,2022,2,4,Jan 2022,10
Criminal Conviction,Atlanta,COLOMBIA,2022,3,8,May 2022,10
Criminal Conviction,Atlanta,COLOMBIA,2023,1,1,Oct 2022,12
Criminal Conviction,Atlanta,COLOMBIA,2023,2,5,Feb 2023,18
Criminal Conviction,Atlanta,COLOMBIA,2024,1,1,Oct 2023,16
Criminal Conviction,Atlanta,COLOMBIA,2024,4,10,Jul 2024,11
Criminal Conviction,Atlanta,COLOMBIA,2024,4,11,Aug 2024,11
Criminal Conviction,Atlanta,EL SALVADOR,2021,1,3,Dec 2020,14
Criminal Conviction,Atlanta,EL SALVADOR,2021,1,2,Nov 2020,16
Criminal Conviction,Atlanta,EL SALVADOR,2021,1,1,Oct 2020,16
Criminal Conviction,Atlanta,EL SALVADOR,2021,2,4,Jan 2021,13
Criminal Conviction,Atlanta,EL SALVADOR,2021,3,8,May 2021,10
Criminal Conviction,Atlanta,EL SALVADOR,2021,4,12,Sep 2021,10
Criminal Conviction,Atlanta,EL SALVADOR,2022,2,5,Feb 2022,11
Criminal Conviction,Atlanta,EL SALVADOR,2022,2,6,Mar 2022,12
Criminal Conviction,Atlanta,EL SALVADOR,2022,3,7,Apr 2022,10
Criminal Conviction,Atlanta,EL SALVADOR,2022,4,10,Jul 2022,14
Criminal Conviction,Atlanta,EL SALVADOR,2022,4,11,Aug 2022,12
Criminal Conviction,Atlanta,EL SALVADOR,2022,4,12,Sep 2022,12
Criminal Conviction,Atlanta,EL SALVADOR,2023,1,3,Dec 2022,12
Criminal Conviction,Atlanta,EL SALVADOR,2023,1,2,Nov 2022,12
Criminal Conviction,Atlanta,EL SALVADOR,2023,1,1,Oct 2022,15
Criminal Conviction,Atlanta,EL SALVADOR,2023,2,5,Feb 2023,11
Criminal Conviction,Atlanta,EL SALVADOR,2023,2,6,Mar 2023,10
Criminal Conviction,Atlanta,EL SALVADOR,2023,3,7,Apr 2023,13
Criminal Conviction,Atlanta,EL SALVADOR,2023,3,8,May 2023,14
Criminal Conviction,Atlanta,EL SALVADOR,2023,3,9,Jun 2023,17
Criminal Conviction,Atlanta,EL SALVADOR,2023,4,11,Aug 2023,10
Criminal Conviction,Atlanta,EL SALVADOR,2023,4,12,Sep 2023,12
Criminal Conviction,Atlanta,EL SALVADOR,2024,1,1,Oct 2023,11
Criminal Conviction,Atlanta,EL SALVADOR,2024,2,5,Feb 2024,13
Criminal Conviction,Atlanta,EL SALVADOR,2024,2,6,Mar 2024,16
Criminal Conviction,Atlanta,EL SALVADOR,2024,2,4,Jan 2024,13
Criminal Conviction,Atlanta,EL SALVADOR,2024,3,7,Apr 2024,21
Criminal Conviction,Atlanta,EL SALVADOR,2024,3,8,May 2024,15
Criminal Conviction,Atlanta,EL SALVADOR,2024,3,9,Jun 2024,18
Criminal Conviction,Atlanta,EL SALVADOR,2024,4,10,Jul 2024,25
Criminal Conviction,Atlanta,EL SALVADOR,2024,4,11,Aug 2024,23
Criminal Conviction,Atlanta,EL SALVADOR,2024,4,12,Sep 2024,14
Criminal Conviction,Atlanta,GUATEMALA,2021,1,3,Dec 2020,48
Criminal Conviction,Atlanta,GUATEMALA,2021,1,2,Nov 2020,54
Criminal Conviction,Atlanta,GUATEMALA,2021,1,1,Oct 2020,56
Criminal Conviction,Atlanta,GUATEMALA,2021,2,5,Feb 2021,13
Criminal Conviction,Atlanta,GUATEMALA,2021,2,4,Jan 2021,42
Criminal Conviction,Atlanta,GUATEMALA,2021,3,7,Apr 2021,16
Criminal Conviction,Atlanta,GUATEMALA,2021,3,8,May 2021,12
Criminal Conviction,Atlanta,GUATEMALA,2021,4,10,Jul 2021,10
Criminal Conviction,Atlanta,GUATEMALA,2021,4,11,Aug 2021,24
Criminal Conviction,Atlanta,GUATEMALA,2021,4,12,Sep 2021,14
Criminal Conviction,Atlanta,GUATEMALA,2022,1,3,Dec 2021,10
Criminal Conviction,Atlanta,GUATEMALA,2022,1,2,Nov 2021,18
Criminal Conviction,Atlanta,GUATEMALA,2022,1,1,Oct 2021,15
Criminal Conviction,Atlanta,GUATEMALA,2022,2,5,Feb 2022,20
Criminal Conviction,Atlanta,GUATEMALA,2022,2,6,Mar 2022,23
Criminal Conviction,Atlanta,GUATEMALA,2022,2,4,Jan 2022,22
Criminal Conviction,Atlanta,GUATEMALA,2022,3,7,Apr 2022,27
Criminal Conviction,Atlanta,GUATEMALA,2022,3,8,May 2022,30
Criminal Conviction,Atlanta,GUATEMALA,2022,3,9,Jun 2022,20
Criminal Conviction,Atlanta,GUATEMALA,2022,4,10,Jul 2022,28
Criminal Conviction,Atlanta,GUATEMALA,2022,4,11,Aug 2022,25
Criminal Conviction,Atlanta,GUATEMALA,2022,4,12,Sep 2022,32
